chan_id,spacecraft,anomaly_class,detector,alpha,duration,f1_pa,f1_pw,p_pa,p_pw,r_pa,r_pw,latency,n_replicas,fp_rate_no_injection
E-10,SMAP,"[contextual, contextual]",lstm,0.75,64,0.2637,0.02,0.2641,0.0278,0.2667,0.0156,6.0,5,
E-10,SMAP,"[contextual, contextual]",vae,0.75,64,0.0921,0.0656,0.1488,0.1313,0.0667,0.0437,22.0,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.75,128,0.5817,0.0396,0.6545,0.0832,0.5333,0.026,27.6,5,
E-10,SMAP,"[contextual, contextual]",vae,0.75,128,0.2533,0.1419,0.3697,0.3375,0.2,0.0927,15.75,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.75,256,0.8265,0.0334,0.8691,0.1376,0.8,0.019,99.07,5,
E-10,SMAP,"[contextual, contextual]",vae,0.75,256,0.1991,0.0779,0.3932,0.3775,0.1333,0.0435,155.5,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.0,16,0.0742,0.0101,0.0514,0.0073,0.1333,0.0167,2.5,5,
E-10,SMAP,"[contextual, contextual]",vae,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.0,32,0.3722,0.0358,0.2875,0.0328,0.5333,0.0396,3.17,5,
E-10,SMAP,"[contextual, contextual]",vae,1.0,32,0.1394,0.1394,0.1467,0.1467,0.1333,0.1333,0.0,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.0,64,0.5397,0.0592,0.5,0.0777,0.6,0.0479,4.5,5,
E-10,SMAP,"[contextual, contextual]",vae,1.0,64,0.0948,0.0781,0.1641,0.1562,0.0667,0.0521,0.0,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.0,128,0.4978,0.0328,0.5412,0.0713,0.4667,0.0214,22.0,5,
E-10,SMAP,"[contextual, contextual]",vae,1.0,128,0.2925,0.1357,0.5463,0.475,0.2,0.0792,3.0,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.0,256,0.8062,0.1079,0.8501,0.3378,0.8,0.0643,73.7,5,
E-10,SMAP,"[contextual, contextual]",vae,1.0,256,0.7095,0.4085,0.7797,0.7452,0.6667,0.2823,56.0,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.5,16,0.3057,0.0656,0.2055,0.0463,0.6,0.1125,2.33,5,
E-10,SMAP,"[contextual, contextual]",vae,1.5,16,0.1725,0.1664,0.1306,0.1259,0.2667,0.2583,0.0,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.5,32,0.5362,0.1298,0.4051,0.1147,0.8,0.15,2.7,5,
E-10,SMAP,"[contextual, contextual]",vae,1.5,32,0.3291,0.3283,0.2565,0.256,0.5333,0.5312,0.0,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.5,64,0.503,0.0621,0.4807,0.0799,0.5333,0.051,5.2,5,
E-10,SMAP,"[contextual, contextual]",vae,1.5,64,0.5832,0.5738,0.6108,0.6041,0.6,0.5906,0.0,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.5,128,0.8041,0.1576,0.7572,0.2726,0.8667,0.1115,20.47,5,
E-10,SMAP,"[contextual, contextual]",vae,1.5,128,0.7529,0.7199,0.7868,0.7744,0.8,0.7479,6.27,5,
E-10,SMAP,"[contextual, contextual]",lstm,1.5,256,0.9427,0.1545,0.8916,0.4291,1.0,0.0945,68.53,5,
E-10,SMAP,"[contextual, contextual]",vae,1.5,256,0.9101,0.8051,0.8962,0.8732,0.9333,0.7562,32.87,5,
P-2,SMAP,[point],lstm,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.04275
P-2,SMAP,[point],vae,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.07178
P-2,SMAP,[point],lstm,0.1,16,0.0671,0.0102,0.0403,0.0062,0.2,0.0292,10.67,5,
P-2,SMAP,[point],vae,0.1,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-2,SMAP,[point],lstm,0.1,32,0.1092,0.0087,0.0751,0.0062,0.2,0.0146,20.33,5,
P-2,SMAP,[point],vae,0.1,32,0.0258,0.0125,0.016,0.0078,0.0667,0.0312,17.0,5,
P-2,SMAP,[point],lstm,0.1,64,0.3941,0.0289,0.3134,0.0269,0.5333,0.0312,38.9,5,
P-2,SMAP,[point],vae,0.1,64,0.0861,0.0632,0.0636,0.0474,0.1333,0.0948,18.5,5,
P-2,SMAP,[point],lstm,0.1,128,0.7846,0.0421,0.6456,0.0572,1.0,0.0333,48.93,5,
P-2,SMAP,[point],vae,0.1,128,0.1817,0.0429,0.1681,0.05,0.2,0.0375,55.75,5,
P-2,SMAP,[point],lstm,0.1,256,0.8482,0.047,0.782,0.1058,0.9333,0.0302,42.17,5,
P-2,SMAP,[point],vae,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-2,SMAP,[point],lstm,0.25,16,0.1473,0.029,0.0875,0.0175,0.4667,0.0833,1.42,5,
P-2,SMAP,[point],vae,0.25,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
P-2,SMAP,[point],lstm,0.25,32,0.0934,0.0063,0.061,0.0045,0.2,0.0104,16.0,5,
P-2,SMAP,[point],vae,0.25,32,0.0235,0.0235,0.0143,0.0143,0.0667,0.0667,0.0,5,
P-2,SMAP,[point],lstm,0.25,64,0.4032,0.0154,0.3053,0.0143,0.6,0.0167,30.83,5,
P-2,SMAP,[point],vae,0.25,64,0.1668,0.1185,0.1222,0.0897,0.2667,0.175,0.0,5,
P-2,SMAP,[point],lstm,0.25,128,0.7148,0.0366,0.6119,0.0508,0.8667,0.0286,30.8,5,
P-2,SMAP,[point],vae,0.25,128,0.1837,0.0964,0.1723,0.1038,0.2,0.0906,68.25,5,
P-2,SMAP,[point],lstm,0.25,256,0.888,0.0355,0.7985,0.0823,1.0,0.0227,56.2,5,
P-2,SMAP,[point],vae,0.25,256,0.272,0.0707,0.2848,0.0999,0.2667,0.0549,13.33,5,
P-2,SMAP,[point],lstm,0.5,16,0.1265,0.0189,0.0752,0.0114,0.4,0.0542,0.08,5,
P-2,SMAP,[point],vae,0.5,16,0.0148,0.0148,0.0083,0.0083,0.0667,0.0667,0.0,5,
P-2,SMAP,[point],lstm,0.5,32,0.2055,0.0197,0.1384,0.014,0.4,0.0333,0.12,5,
P-2,SMAP,[point],vae,0.5,32,0.1318,0.129,0.0791,0.0775,0.4,0.3896,0.0,5,
P-2,SMAP,[point],lstm,0.5,64,0.4263,0.0269,0.3327,0.025,0.6,0.0292,15.53,5,
P-2,SMAP,[point],vae,0.5,64,0.1766,0.1749,0.1204,0.1194,0.3333,0.3292,0.0,5,
P-2,SMAP,[point],lstm,0.5,128,0.5874,0.025,0.5307,0.034,0.6667,0.0198,39.97,5,
P-2,SMAP,[point],vae,0.5,128,0.3126,0.2353,0.2587,0.202,0.4,0.287,25.75,5,
P-2,SMAP,[point],lstm,0.5,256,0.887,0.0418,0.797,0.095,1.0,0.0268,63.47,5,
P-2,SMAP,[point],vae,0.5,256,0.6575,0.3918,0.6029,0.4272,0.7333,0.3677,55.97,5,
P-2,SMAP,[point],lstm,0.75,16,0.1074,0.0144,0.064,0.0087,0.3333,0.0417,0.12,5,
P-2,SMAP,[point],vae,0.75,16,0.0633,0.0633,0.035,0.035,0.3333,0.3333,0.0,5,
P-2,SMAP,[point],lstm,0.75,32,0.3048,0.0286,0.2044,0.0204,0.6,0.0479,2.6,5,
P-2,SMAP,[point],vae,0.75,32,0.1794,0.1663,0.1083,0.1006,0.5333,0.4875,0.0,5,
