chan_id,spacecraft,anomaly_class,alpha,duration,f1,precision,recall,latency_steps,n_replicas_valid,mean_injections_per_replica,fp_rate_no_injection
G-3,SMAP,[point],0.1,256,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.25,16,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.25,32,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.25,64,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.25,128,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.25,256,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.5,16,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.5,32,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.5,64,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.5,128,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.5,256,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.75,16,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.75,32,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.75,64,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.75,128,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.75,256,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],1.0,16,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],1.0,32,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],1.0,64,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],1.0,128,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],1.0,256,0.26,0.4,0.2,141.75,5,3.0,
G-3,SMAP,[point],1.5,16,0.32,0.4,0.2667,0.75,5,3.0,
G-3,SMAP,[point],1.5,32,0.2992,0.5939,0.2,9.33,5,3.0,
G-3,SMAP,[point],1.5,64,0.4596,0.7969,0.3333,4.12,5,3.0,
G-3,SMAP,[point],1.5,128,0.6198,0.9992,0.4667,50.4,5,3.0,
G-3,SMAP,[point],1.5,256,0.84,1.0,0.7333,61.77,5,3.0,
T-2,SMAP,[point],0.0,0,0.0,0.0,0.0,,1,0.0,0.10744
T-2,SMAP,[point],0.1,16,0.0866,0.046,0.7333,2.4,5,3.0,
T-2,SMAP,[point],0.1,32,0.1838,0.1028,0.8667,4.17,5,3.0,
T-2,SMAP,[point],0.1,64,0.3315,0.2015,0.9333,16.3,5,3.0,
T-2,SMAP,[point],0.1,128,0.5253,0.3562,1.0,7.47,5,3.0,
T-2,SMAP,[point],0.1,256,0.7007,0.5393,1.0,7.0,5,3.0,
T-2,SMAP,[point],0.25,16,0.1144,0.0607,1.0,0.93,5,3.0,
T-2,SMAP,[point],0.25,32,0.207,0.1154,1.0,1.47,5,3.0,
T-2,SMAP,[point],0.25,64,0.3443,0.2079,1.0,2.27,5,3.0,
T-2,SMAP,[point],0.25,128,0.525,0.3559,1.0,8.0,5,3.0,
T-2,SMAP,[point],0.25,256,0.6985,0.5367,1.0,3.0,5,3.0,
T-2,SMAP,[point],0.5,16,0.1133,0.0601,1.0,1.2,5,3.0,
T-2,SMAP,[point],0.5,32,0.2032,0.1131,1.0,0.0,5,3.0,
T-2,SMAP,[point],0.5,64,0.3432,0.2071,1.0,0.8,5,3.0,
T-2,SMAP,[point],0.5,128,0.5186,0.3501,1.0,0.8,5,3.0,
T-2,SMAP,[point],0.5,256,0.6955,0.5332,1.0,0.53,5,3.0,
T-2,SMAP,[point],0.75,16,0.1129,0.0598,1.0,0.0,5,3.0,
T-2,SMAP,[point],0.75,32,0.2038,0.1135,1.0,0.07,5,3.0,
T-2,SMAP,[point],0.75,64,0.3413,0.2058,1.0,0.07,5,3.0,
T-2,SMAP,[point],0.75,128,0.5169,0.3486,1.0,0.0,5,3.0,
T-2,SMAP,[point],0.75,256,0.6944,0.5318,1.0,0.53,5,3.0,
T-2,SMAP,[point],1.0,16,0.1133,0.06,1.0,0.4,5,3.0,
T-2,SMAP,[point],1.0,32,0.2043,0.1138,1.0,0.0,5,3.0,
T-2,SMAP,[point],1.0,64,0.3382,0.2035,1.0,0.13,5,3.0,
T-2,SMAP,[point],1.0,128,0.5166,0.3482,1.0,0.07,5,3.0,
